Nacimientos
,Año de registro : 2016
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, No especificado
 20, Oaxaca,"83,564", , , , , , , 1, , 1, , , 2, 1, 6, 4, 11, 12, 12, 18, 12, 17, 21, 31, 47, 28, 48, 48, 52, 96, 53, 73, 63, 63, 85, 84, 70, 91, 54, 78, 63, 72, 61, 70, 100, 73, 79, 86, 98, 153, 105, 102, 95, 84, 110, 83, 84, 90, 89, 116, 79, 84, 91, 70, 106, 73, 80, 73, 73, 50, 45, 47, 55, 44, 45, 37, 48, 43, 30, 22, 27, 20, 22, 27, 33, 13, 21, 18, 22, 27, 37, 31, 19, 35, 38, 34, 35, 45, 55, 54, 55, 67, 62, 88, 77, 69, 106, 121, 143, 328, 618,"1,116","2,054","3,923","25,486","44,448", 
 21, Puebla,"132,823", , , , , 1, , , , , , 1, 1, 2, 3, 3, 3, 4, 6, 14, 10, 17, 15, 34, 29, 36, 34, 31, 37, 61, 42, 51, 61, 49, 61, 77, 57, 58, 44, 88, 49, 68, 68, 83, 75, 101, 70, 89, 116, 129, 104, 106, 116, 127, 151, 139, 93, 103, 91, 95, 82, 90, 95, 97, 71, 60, 81, 76, 94, 84, 75, 59, 87, 109, 81, 71, 82, 95, 74, 31, 29, 16, 17, 17, 14, 12, 11, 18, 11, 21, 35, 40, 41, 39, 31, 14, 14, 19, 27, 28, 25, 40, 48, 77, 81, 91, 101, 129, 187, 414, 995,"1,890","2,789","4,168","34,582","82,254", 1
 22, Querétaro,"39,634", , , , , , , , , , , , , , 1, 1, , , , 2, , 1, , 3, 2, 3, 2, 2, 4, 2, 1, 1, 3, 2, 4, 3, 2, 5, , 1, 6, 5, 3, 2, , , 2, 1, 2, 6, 1, 6, , 3, 3, 1, 3, 2, 1, 1, 2, 1, 2, 1, 3, , 2, 2, , 2, 1, 1, 1, 2, 3, 1, , , , , 2, 1, , , , , , 1, 3, 1, 2, 2, 3, 1, 2, 1, 5, 6, 3, 7, 6, 6, 10, 6, 5, 10, 21, 14, 32, 34, 52, 114, 141, 239,"4,261","34,526", 
 23, Quintana Roo,"30,367", , , , , , , , , , , , , , 2, , 1, 1, , 1, 2, 1, , 2, , 2, 2, , , 5, 4, 2, 3, 5, 1, 5, 2, 6, 2, 4, 2, 6, 3, 4, 3, 4, 7, 9, 3, 10, 2, 8, 10, 2, 5, 10, 6, 8, 6, 14, 5, 6, 7, 5, 2, 6, 7, 8, 6, 4, 3, 5, 3, 5, 2, 3, 4, 3, 5, 3, 5, 3, 4, 7, 5, 3, 3, 3, 5, 2, 4, 4, 4, 3, 7, 6, 7, 12, 14, 24, 18, 20, 18, 35, 26, 26, 33, 62, 94, 164, 322, 451, 619,"1,023","7,116","19,899", 49
 24, San Luis Potosí,"49,688", , 1, , , , 1, , , 1, , , , , 1, 1, , 2, 3, 5, 3, 6, 10, 11, 16, 15, 8, 17, 10, 24, 9, 14, 14, 16, 15, 16, 8, 15, 13, 14, 6, 12, 10, 16, 14, 14, 10, 16, 8, 13, 9, 17, 13, 15, 16, 12, 9, 16, 3, 11, 9, 9, 2, 3, 4, 4, 7, 2, 5, 8, 3, 2, 1, 4, 4, 4, 3, 2, 3, 2, 1, 4, 4, 5, 4, 4, 1, 6, 10, 7, 3, 5, 10, 12, 11, 9, 18, 22, 23, 24, 32, 36, 30, 65, 41, 40, 48, 51, 38, 96, 113, 179, 280, 514,"7,927","39,424", 1
 25, Sinaloa,"53,247", , , , , , , , , 2, 2, , , 1, 1, , 1, 1, 1, 1, 3, 5, 5, 7, 15, 10, 11, 13, 12, 19, 5, 8, 11, 14, 20, 21, 16, 7, 15, 19, 18, 20, 27, 18, 19, 15, 18, 28, 19, 32, 23, 23, 31, 25, 23, 16, 20, 21, 13, 20, 15, 22, 14, 18, 15, 15, 12, 14, 17, 12, 13, 11, 13, 19, 19, 13, 7, 8, 8, 12, 13, 13, 6, 6, 14, 16, 17, 20, 13, 27, 26, 26, 36, 23, 22, 33, 44, 57, 56, 76, 117, 74, 78, 125, 110, 81, 87, 87, 100, 112, 202, 555, 542, 925,"8,380","40,175", 1
 26, Sonora,"46,785", , , , , 1, , , , , , , 1, , , , , 2, 1, 4, 3, 3, 6, 7, 8, 11, 14, 16, 13, 12, 10, 7, 23, 14, 13, 25, 24, 14, 28, 15, 22, 18, 18, 17, 17, 19, 15, 15, 14, 17, 10, 15, 23, 20, 27, 18, 13, 7, 5, 7, 8, 9, 4, 1, 2, 10, 7, 1, 4, 6, 7, 6, 2, 4, 2, 5, 6, 2, 6, 4, 3, 3, 3, 1, 4, 8, 3, 3, 3, 2, 3, 4, , 5, 6, 10, 8, 17, 8, 19, 21, 16, 17, 25, 36, 31, 31, 42, 63, 147, 272, 300, 345, 646,"7,823","36,168", 1
 27, Tabasco,"50,310", , 1, , , , , , , 1, 1, , 1, , 1, 1, 1, , 2, , 4, 4, 3, 4, 5, 8, 16, 13, 15, 25, 19, 11, 14, 15, 28, 17, 26, 20, 24, 29, 23, 14, 14, 14, 21, 24, 19, 24, 29, 36, 24, 32, 25, 30, 50, 40, 1, 5, 4, 5, 2, 6, 5, 4, 6, 10, 4, 5, 7, 7, 1, 6, 7, 1, 5, 4, 2, 5, 7, 3, 6, 3, 1, 4, 4, 3, 6, 5, 4, 2, 4, 3, 1, 3, 5, 1, 2, 7, 4, 3, 2, , 15, 30, 27, 31, 41, 70, 115, 285, 429, 777,"1,057","1,501","18,064","26,955", 
 28, Tamaulipas,"58,914", , , , , , , , , , , , , , , , 1, , , , , 2, 2, 4, 4, 3, 5, 6, 5, 9, 6, 5, 13, 9, 6, 4, 9, 9, 1, 8, 6, 10, 8, 8, 15, 5, 9, 12, 14, 20, 19, 11, 24, 22, 27, 13, 11, 13, 13, 14, 12, 12, 8, 9, 6, 1, 11, 8, 12, 8, 8, 3, 7, 7, 9, 7, 3, 5, 1, 9, 6, 2, 5, 4, 4, 3, 3, 1, 5, 8, 4, 8, 5, 13, 10, 15, 12, 15, 11, 9, 12, 10, 12, 20, 20, 38, 23, 66, 64, 250, 469, 557, 630,"1,061","9,967","45,040", 1
 29, Tlaxcala,"25,057", , , , , , , , 1, , , , , , , , 1, 1, 1, 3, 7, 1, 7, 2, 8, 8, 8, 8, 12, 10, 5, 7, 7, 10, 7, 13, 11, 12, 5, 8, 3, 5, 6, 7, 3, 6, 9, 3, 14, 13, 11, 7, 10, 6, 16, 17, 14, 14, 13, 6, 7, 5, 5, 10, 4, 6, 8, 2, 3, 3, 1, 6, 6, 4, 4, , 1, 5, 3, 3, , 3, 1, 1, 1, 1, 1, 2, 3, 3, 1, 2, 2, 5, 2, 9, 7, 6, 7, 5, 9, 10, 5, 13, 14, 13, 10, 19, 22, 49, 75, 172, 172, 241,"5,734","18,003", 2
 30, Veracruz de Ignacio de la Llave,"137,338", 1, , , , 1, , , , 1, , 2, 2, 4, 1, 2, , 3, 1, 13, 5, 7, 4, 15, 18, 19, 24, 20, 22, 38, 27, 32, 35, 33, 51, 40, 50, 45, 36, 65, 57, 73, 75, 96, 90, 85, 74, 76, 94, 144, 112, 104, 93, 100, 137, 109, 99, 90, 82, 100, 71, 103, 90, 90, 82, 76, 87, 76, 67, 75, 71, 80, 74, 83, 70, 64, 55, 60, 54, 53, 33, 44, 23, 19, 21, 23, 23, 18, 24, 17, 17, 27, 17, 19, 41, 23, 36, 30, 24, 36, 50, 44, 52, 66, 80, 109, 124, 141, 267, 593,"1,175","1,887","2,686","4,923","35,467","85,171", 
 31, Yucatán,"35,381", , , , , , , , , , , , , , , 1, , , , , , , 2, 2, , , 3, 3, 3, 1, 1, 1, 1, 1, 2, , , 1, 1, , 1, 1, , , , , 2, 1, 1, 2, 2, , 1, 2, 3, 2, 3, 1, 5, 2, 1, 1, 2, 1, 1, 3, 1, , , 3, , 1, 1, 3, 1, , 2, , 2, 3, 1, 1, 1, 2, , 2, , 1, , 1, 1, , , , 1, 4, 6, 2, 3, 4, 4, 4, 1, 6, 6, 7, 11, 12, 24, 37, 91, 147, 143, 307,"4,046","30,427", 
 32, Zacatecas,"33,677", , , , , , , , , , , , , , , 2, 1, 2, , 8, 1, 4, 5, 8, 3, 7, 9, 13, 12, 11, 6, 8, 9, 10, 2, 4, 5, 3, 10, 7, 9, 4, 2, 5, 1, 6, 10, 5, 11, 12, 12, 14, 5, 10, 17, 11, 8, 7, 8, 9, 10, 5, 3, 7, 9, 8, 4, 5, 5, 6, 6, 2, 9, 14, 5, 9, 6, 8, 6, 8, 9, 2, 8, 5, 3, 4, 10, 9, 7, 15, 21, 7, 12, 10, 14, 23, 25, 23, 26, 45, 53, 33, 33, 58, 46, 41, 37, 44, 36, 54, 73, 75, 132, 274,"5,263","26,696", 
 35, Extranjero,"7,856", , , , , , , , , 1, , , , , , 1, , , 1, 3, , 2, 1, 2, 2, 4, 4, 4, 9, 10, 3, 4, 8, 7, 10, 9, 4, 12, 3, 13, 11, 11, 13, 11, 22, 23, 15, 23, 21, 78, 58, 32, 23, 38, 60, 62, 16, 29, 18, 35, 30, 28, 32, 33, 28, 31, 50, 36, 36, 42, 32, 46, 41, 51, 45, 46, 49, 35, 52, 42, 43, 56, 50, 48, 47, 48, 53, 51, 51, 60, 65, 82, 71, 83, 103, 110, 108, 155, 149, 285, 330, 225, 232, 310, 280, 255, 248, 244, 201, 262, 189, 213, 199, 222, 452, 774, 1


FUENTE: INEGI. Estadísticas de natalidad.
