Nacimientos
,Año de registro : 2020
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, No especificado
 28, Tamaulipas,"44,297", , 1, , , , 1, , , 1, , , , 1, 1, , 2, , , 2, 1, , 2, 5, 2, 2, 2, 4, 9, 5, 5, 2, 5, 4, 4, 9, 7, 1, 6, 2, 10, 6, 6, 5, 4, 13, 1, 7, 6, 7, 4, 4, 12, 9, 11, 11, 6, 4, 9, 5, 5, 3, 7, 4, 7, 4, 6, 8, 15, 10, 18, 12, 21, 22, 15, 21, 15, 17, 25, 43, 47, 43, 51, 101, 35, 26, 39, 24, 29, 31, 27, 34, 104, 214, 256, 328, 547,"7,065","34,792", 
 29, Tlaxcala,"20,610", 1, , 1, 1, , 1, 2, 1, 1, 2, 2, , 1, 1, 2, 2, 2, 4, 1, 3, 2, 1, 2, 3, 7, 2, 1, 5, 3, 2, , 3, 4, 8, 8, 3, 5, 6, 3, 3, 3, 3, 4, 4, 4, 2, , 8, 3, 1, 7, 2, 3, 4, , , 1, , 3, 1, 1, , 1, , , 2, 1, 1, 1, 2, 4, 3, 1, 1, 1, 1, 3, 6, 2, 4, 8, 6, 3, 4, 7, 6, 3, 3, 1, 9, 4, 8, 27, 74, 102, 131,"2,645","17,382", 
 30, Veracruz de Ignacio de la Llave,"92,325", 2, 3, 2, 2, 2, 4, 1, 8, 4, 7, 4, 4, 14, 9, 9, 12, 12, 17, 11, 21, 16, 16, 17, 28, 24, 24, 28, 31, 25, 20, 33, 37, 25, 18, 19, 22, 38, 34, 19, 20, 23, 32, 21, 23, 24, 20, 14, 19, 18, 17, 20, 17, 21, 13, 15, 16, 14, 12, 6, 11, 3, 2, 7, 4, 2, 10, 6, 5, 8, 5, 7, 5, 9, 4, 10, 7, 6, 16, 15, 14, 17, 9, 19, 21, 23, 29, 29, 39, 36, 53, 110, 253, 614,"1,035","1,565","2,909","23,722","60,699", 
 31, Yucatán,"29,321", , , , , , , , , 1, 1, 1, , , , , 1, , , 1, , , , , , , , , , , , , 1, , , , 2, , , , 1, , , , , 2, , , 1, , , 2, 1, 1, , , 1, 1, , , , , , , 1, , , 1, 1, 1, , , 1, 1, , 2, 2, , 1, 4, , 2, 3, 5, 2, 4, 2, 5, 9, 7, 8, 12, 19, 38, 97, 119, 253,"3,478","25,225", 
 32, Zacatecas,"26,309", 6, , 1, 2, , 9, 4, 4, 1, 1, , 1, 3, 2, 5, 1, 3, 1, 2, 4, , 1, 2, , 1, , 5, 6, 1, 5, 2, 4, 4, 3, 7, 3, 6, 3, 3, 2, 3, 3, 1, 1, 5, 3, 3, 3, 3, 2, 4, 4, 6, 2, , 1, 4, 2, 4, 4, 5, , 3, 10, 2, 4, 4, 5, 6, 10, 6, 12, 8, 17, 13, 8, 20, 20, 27, 30, 38, 52, 47, 37, 42, 44, 41, 25, 20, 30, 24, 45, 44, 69, 107, 209,"4,332","20,727", 
 35, Extranjero,"3,684", , 1, 1, , , , 1, 1, 1, , , 1, 1, , , 1, 1, 5, 4, 2, 2, 1, 2, 1, 4, 1, 4, 3, 3, 6, 6, 8, 5, 8, 11, 5, 8, 11, 10, 8, 15, 8, 12, 12, 18, 15, 17, 14, 21, 10, 18, 26, 28, 19, 24, 23, 26, 31, 30, 29, 35, 41, 24, 24, 28, 26, 32, 44, 41, 51, 48, 58, 65, 60, 68, 75, 56, 86, 105, 89, 110, 117, 192, 97, 90, 86, 65, 58, 52, 62, 72, 93, 100, 125, 129, 115, 298, 244, 


FUENTE: INEGI. Estadísticas de natalidad.
