country,code,income,year,age,pop,dts,bsn,bsn_up,bsn_lp,psc,up,lp,exc,age_type
Mongolia,MNG,Lower-mid,2021,1-4,308078,164,203.92356482745183,336,117.97500000000002,0.8042228966464331,1.3901250264886627,0.4880952380952381,No-change,<5y
Mongolia,MNG,Lower-mid,2022,1-4,300776,205,187.0197679755554,333,100,1.0961408102420207,2.05,0.6156156156156156,No-change,<5y
Mongolia,MNG,Lower-mid,2020,0-4,392271,1065,1128.0640294634177,1468.3749999999995,833.95,0.9440953458170144,1.2770549793153065,0.7252915638035246,No-change,5y groups
Mongolia,MNG,Lower-mid,2021,0-4,381330,993,1015.5559209838767,1377.0499999999997,734.975,0.9777895825155306,1.3510663628014559,0.7211067136269563,No-change,5y groups
Mongolia,MNG,Lower-mid,2022,0-4,367686,1019,906.8496374843174,1262.05,629.9250000000001,1.1236702953609794,1.6176528951859346,0.8074165048928331,No-change,5y groups
Mongolia,MNG,Lower-mid,2020,5-9,382804,100,111.17554535140441,135.02499999999998,88,0.899478385142338,1.1363636363636365,0.740603591927421,No-change,5y groups
Mongolia,MNG,Lower-mid,2021,5-9,394218,99,107.92726732876787,137,83,0.9172844124592385,1.1927710843373494,0.7226277372262774,No-change,5y groups
Mongolia,MNG,Lower-mid,2022,5-9,399845,114,103.1925465168504,134,77,1.1047309505186487,1.4805194805194806,0.8507462686567164,No-change,5y groups
Mongolia,MNG,Lower-mid,2020,10-14,289018,115,84.9049586148068,110,65,1.3544556392957814,1.7692307692307692,1.0454545454545454,Excess,5y groups
Mongolia,MNG,Lower-mid,2021,10-14,311518,120,82.16593749156276,112,60,1.4604592080790444,2,1.0714285714285714,Excess,5y groups
Mongolia,MNG,Lower-mid,2022,10-14,332754,97,78.80113254097131,108.02499999999998,54.97500000000002,1.2309467754104486,1.7644383810823094,0.897940291599167,No-change,5y groups
Mongolia,MNG,Lower-mid,2020,15-19,221994,162,131.69064209663162,169.02499999999998,102,1.230155745471482,1.588235294117647,0.9584381008726521,No-change,5y groups
Mongolia,MNG,Lower-mid,2021,15-19,222634,148,122.77219074443035,162,91,1.2054847201357293,1.6263736263736264,0.9135802469135802,No-change,5y groups
Mongolia,MNG,Lower-mid,2022,15-19,229850,155,117.82782524372449,157,86,1.315478747735398,1.802325581395349,0.9872611464968153,No-change,5y groups
Mongolia,MNG,Lower-mid,2020,20-24,233208,174,203.26724626137036,240,169,0.8560159258332393,1.029585798816568,0.725,No-change,5y groups
Mongolia,MNG,Lower-mid,2021,20-24,230844,238,194.27039482171563,237,155.97500000000002,1.2250965990902298,1.5258855585831061,1.0042194092827004,Excess,5y groups
Mongolia,MNG,Lower-mid,2022,20-24,228906,194,185.99843100125406,232,145.97500000000002,1.0430195510557398,1.3289946908717245,0.8362068965517241,No-change,5y groups
Montenegro,MNE,Upper-mid,2020,Stillbirths,7131,34,25.693562617195195,42,13.975000000000023,1.3232886581966563,2.4329159212880103,0.8095238095238095,No-change,<1m
Montenegro,MNE,Upper-mid,2021,Stillbirths,7055,22,24.25674096849238,44.02499999999998,12,0.9069643786268027,1.8333333333333333,0.49971607041453747,No-change,<1m
Montenegro,MNE,Upper-mid,2020,Infant,7097,20,12.132222211269104,42,1,1.648502611617421,20,0.47619047619047616,No-change,<5y
Montenegro,MNE,Upper-mid,2020,1-4,30232,6,10.287794657492714,23.024999999999977,3,0.5832153731441494,2,0.2605863192182413,No-change,<5y
Montenegro,MNE,Upper-mid,2021,1-4,29786,3,11.780897255193043,32,3,0.25464953432792176,1,0.09375,No-change,<5y
Montenegro,MNE,Upper-mid,2022,1-4,29138,6,13.394814299316673,41.02499999999998,3,0.44793454137741096,2,0.1462522851919562,No-change,<5y
Montenegro,MNE,Upper-mid,2020,0-4,37329,26,21.580968548908192,48,6,1.204765205096199,4.333333333333333,0.5416666666666666,No-change,5y groups
Montenegro,MNE,Upper-mid,2021,0-4,36820,13,21.16250734318316,55.049999999999955,5,0.6142939392381377,2.6,0.23614895549500473,No-change,5y groups
Montenegro,MNE,Upper-mid,2022,0-4,36159,31,20.66134124376153,64,4,1.5003866222557123,7.75,0.484375,No-change,5y groups
Montenegro,MNE,Upper-mid,2020,10-14,38916,2,6.058067390700515,14,1,0.33013828850271887,2,0.14285714285714285,No-change,5y groups
Montenegro,MNE,Upper-mid,2021,10-14,39294,5,5.989124902107995,16,1,0.8348465062467052,5,0.3125,No-change,5y groups
Montenegro,MNE,Upper-mid,2022,10-14,39241,8,5.856099130863013,18,1,1.3660970931721643,8,0.4444444444444444,No-change,5y groups
Montenegro,MNE,Upper-mid,2020,15-19,39094,15,11.678599742302822,24,4,1.284400555801757,3.75,0.625,No-change,5y groups
Montenegro,MNE,Upper-mid,2021,15-19,38252,14,12.318456713212845,28,4,1.1365060028163692,3.5,0.5,No-change,5y groups
Montenegro,MNE,Upper-mid,2022,15-19,37686,19,13.082889927161265,32.02499999999998,3,1.4522785184146723,6.333333333333333,0.5932864949258396,No-change,5y groups
Montenegro,MNE,Upper-mid,2020,20-24,40556,20,15.39734559259494,27,6,1.2989251867944445,3.3333333333333335,0.7407407407407407,No-change,5y groups
Montenegro,MNE,Upper-mid,2021,20-24,40022,16,14.58103477029428,31,5,1.0973158113988286,3.2,0.5161290322580645,No-change,5y groups
Montenegro,MNE,Upper-mid,2022,20-24,39858,18,13.934900611838405,31,4,1.291720730660116,4.5,0.5806451612903226,No-change,5y groups
Myanmar (Burma),MMR,Lower-mid,2020,Infant,763754,9624,8928.525955739602,10428.375,7493.200000000001,1.077893489665371,1.2843644904713605,0.9228666978316372,No-change,<5y
Myanmar (Burma),MMR,Lower-mid,2020,1-4,3603880,2233,2400.5548873500575,3708.774999999999,1392.85,0.9302016012077028,1.6031877086549162,0.6020855943000049,No-change,<5y
Myanmar (Burma),MMR,Lower-mid,2020,0-4,4367634,11857,12471.432730169803,13878.125,11185.350000000002,0.9507327872054812,1.0600472940051047,0.8543661337536591,No-change,5y groups
Myanmar (Burma),MMR,Lower-mid,2020,5-9,4420975,1576,2020.6108499244096,3223.225,1071.8250000000003,0.7799621585021963,1.4703892892962933,0.4889512832644324,No-change,5y groups
Myanmar (Burma),MMR,Lower-mid,2020,10-14,4493303,1897,1856.607188025765,2148.05,1589.8500000000001,1.0217562509909202,1.19319432650879,0.8831265566443983,No-change,5y groups
Myanmar (Burma),MMR,Lower-mid,2020,15-19,4618971,3426,3458.7366389949625,4123.075,2883.8500000000004,0.9905350876889907,1.1879952147303083,0.8309332233830333,No-change,5y groups
Myanmar (Burma),MMR,Lower-mid,2020,20-24,4475212,5228,5309.858343544671,5841,4815,0.9845837048281734,1.0857736240913811,0.8950522170861154,No-change,5y groups
Netherlands,NLD,High,2020,Stillbirths,337364.2,NA,0.6272560808323152,0.8030999999999999,0.47,1.1159716444217802,1.4893617021276595,0.8716224629560454,No-change,<1m
Netherlands,NLD,High,2021,Stillbirths,358884.3,NA,0.5942096748125816,0.800025,0.42597500000000005,1.009744582481335,1.4085333646340745,0.7499765632323989,No-change,<1m
Netherlands,NLD,High,2020,Neonatal,337362,NA,0.8817414107346477,0.9910749999999999,0.78795,1.0207074194804344,1.1422044545973729,0.90810483565825,No-change,<1m
Netherlands,NLD,High,2021,Neonatal,358882,NA,0.9035173941753918,1.0300250000000002,0.792,0.8854284435001184,1.0101010101010102,0.7766801776655905,No-change,<1m
Netherlands,NLD,High,2020,Infant,168681,648,623.0475768372726,688,570,1.040048985166416,1.1368421052631579,0.9418604651162791,No-change,<5y
Netherlands,NLD,High,2021,Infant,179441,633,675.9710736747502,744.025,615,0.9364306028050157,1.0292682926829269,0.8507778636470549,No-change,<5y
Netherlands,NLD,High,2022,Infant,180823,540,694.7226975037423,774.0749999999999,623.975,0.7772885525984864,0.8654192876317159,0.6976068210444725,Deficit,<5y
Netherlands,NLD,High,2020,1-4,690846,82,93.11098159568553,120,69.97500000000002,0.8806694827476679,1.1718470882458016,0.6833333333333333,No-change,<5y
Netherlands,NLD,High,2021,1-4,689052,81,92.29146173419994,121,67,0.8776543190233629,1.208955223880597,0.6694214876033058,No-change,<5y
Netherlands,NLD,High,2022,1-4,692632,112,92.1938493548432,127,65,1.2148315834923573,1.7230769230769232,0.8818897637795275,No-change,<5y
Netherlands,NLD,High,2020,0-4,859527,730,715.7102388500625,779.025,648.975,1.0199658470345443,1.1248507261450749,0.9370687718622638,No-change,5y groups
Netherlands,NLD,High,2021,0-4,868494,714,736.2586768117935,812.0749999999999,664,0.9697678580737685,1.0753012048192772,0.8792291352399717,No-change,5y groups
Netherlands,NLD,High,2022,0-4,873456,652,753.859709605586,846.025,668.975,0.8648824067559224,0.9746253596920662,0.7706628054726515,Deficit,5y groups
Netherlands,NLD,High,2020,5-9,904894,51,58.56007528115513,102,30,0.8709005197678086,1.7,0.5,No-change,5y groups
Netherlands,NLD,High,2021,5-9,895832,62,57.40277269289103,111.04999999999995,25.975000000000023,1.0800871994756154,2.386910490856591,0.5583070688878886,No-change,5y groups
Netherlands,NLD,High,2022,5-9,888886,72,56.39683674979175,123,22,1.2766673478413817,3.272727272727273,0.5853658536585366,No-change,5y groups
Netherlands,NLD,High,2020,10-14,952677,90,67.2542685477783,102.02499999999998,40,1.3382050231661184,2.25,0.8821367311933351,No-change,5y groups
Netherlands,NLD,High,2021,10-14,951704,96,63.97680073714892,108.02499999999998,34,1.500543929891393,2.823529411764706,0.8886831751909282,No-change,5y groups
Netherlands,NLD,High,2022,10-14,946894,89,60.61337121758845,109,30,1.4683228834197308,2.966666666666667,0.8165137614678899,No-change,5y groups
Netherlands,NLD,High,2020,15-19,1039403,192,226.27089025887852,276.025,183,0.8485404365551888,1.0491803278688525,0.695589167647858,No-change,5y groups
Netherlands,NLD,High,2021,15-19,1022110,188,230.728120059495,292,180,0.8148118224667317,1.0444444444444445,0.6438356164383562,No-change,5y groups
Netherlands,NLD,High,2022,15-19,1003305,248,234.85187800574377,305.025,175.97500000000002,1.0559847428340967,1.4092910924847277,0.8130481108105894,No-change,5y groups
Netherlands,NLD,High,2020,20-24,1102605,299,332.8618974441091,386,279,0.8982704307578645,1.07168458781362,0.7746113989637305,No-change,5y groups
Netherlands,NLD,High,2021,20-24,1118616,352,345.91155228303353,413,289,1.0176011690756854,1.217993079584775,0.8523002421307506,No-change,5y groups
Netherlands,NLD,High,2022,20-24,1124336,355,356.139437308513,443,286.95000000000005,0.996800586542383,1.23714932915142,0.801354401805869,No-change,5y groups
New Zealand,NZL,High,2020,Infant,57573,225,246.96533589220317,322.025,181.95000000000005,0.9110590325850801,1.2366034624896947,0.6987035168077013,No-change,<5y
New Zealand,NZL,High,2021,Infant,58659,273,258.2281588057229,355,186,1.05720461030507,1.467741935483871,0.7690140845070422,No-change,<5y
New Zealand,NZL,High,2020,1-4,245841,39,55.274110180041106,84,33,0.7055744519987314,1.1818181818181819,0.4642857142857143,No-change,<5y
New Zealand,NZL,High,2021,1-4,246489,48,57.22105853691582,95.02499999999998,30,0.838852010558894,1.6,0.5051302288871351,No-change,<5y
New Zealand,NZL,High,2020,0-4,303414,267,307.7031610699812,410,220.95000000000005,0.8677193925195846,1.2084181941615748,0.651219512195122,No-change,5y groups
New Zealand,NZL,High,2021,0-4,305148,321,318.0071856659419,453.025,224,1.009411153171872,1.4330357142857142,0.7085701672093152,No-change,5y groups
New Zealand,NZL,High,2020,5-9,327279,24,26.500454758565773,39,17,0.9056448358586168,1.411764705882353,0.6153846153846154,No-change,5y groups
New Zealand,NZL,High,2021,5-9,323700,30,24.934391676779892,38,14,1.2031574858085448,2.142857142857143,0.7894736842105263,No-change,5y groups
New Zealand,NZL,High,2020,10-14,330156,42,57.337336218531355,81,39,0.7325069975334092,1.0769230769230769,0.5185185185185185,No-change,5y groups
New Zealand,NZL,High,2021,10-14,335105,45,64.23260097406055,94,41,0.7005788231769197,1.0975609756097562,0.4787234042553192,No-change,5y groups
New Zealand,NZL,High,2020,15-19,317492,126,134.77362271644492,165,107,0.9349010396870903,1.1775700934579438,0.7636363636363637,No-change,5y groups
New Zealand,NZL,High,2021,15-19,319228,129,135.40333863745485,170,105,0.9527091525076798,1.2285714285714286,0.7588235294117647,No-change,5y groups
New Zealand,NZL,High,2020,20-24,339430,171,213.302686554408,256,173.97500000000002,0.80167766642912075,0.9828998419313119,0.66796875,Deficit,5y groups
New Zealand,NZL,High,2021,20-24,341601,177,222.12191076335583,275,178,0.7968597037172628,0.9943820224719101,0.6436363636363637,Deficit,5y groups
Nicaragua,NIC,Lower-mid,2020,Neonatal,124396,1110,979.4799276570302,1176.025,795.95,1.133254463575564,1.3945599597964695,0.943857486022831,No-change,<1m
Nicaragua,NIC,Lower-mid,2021,Neonatal,120470,1062,901.0521822586015,1122.025,714,1.178622083060675,1.4873949579831933,0.946502974532653,No-change,<1m
Nicaragua,NIC,Lower-mid,2022,Neonatal,119020,966,845.6154048996698,1083.175,642.95,1.1423632947115168,1.502449646162221,0.8918226510028389,No-change,<1m
Nicaragua,NIC,Lower-mid,2020,Infant,124396,1566,1468.1629632956685,1656.1499999999999,1280,1.0666390851358294,1.2234375,0.945566524771307,No-change,<5y
Nicaragua,NIC,Lower-mid,2021,Infant,120470,1505,1361.8670209997229,1572.225,1167,1.1051005544544326,1.2896315338474722,0.9572421250139135,No-change,<5y
Nicaragua,NIC,Lower-mid,2022,Infant,119020,1505,1288.7351769304591,1509,1068.9499999999998,1.1678116861717438,1.4079236634080174,0.9973492379058979,No-change,<5y
Nicaragua,NIC,Lower-mid,2020,1-4,559764,212,211.58439009755762,242,179.97500000000002,1.0019642748798754,1.1779413807473258,0.8760330578512396,No-change,<5y
Nicaragua,NIC,Lower-mid,2021,1-4,558664,197,200.90027143658523,233,173,0.9805860320212839,1.138728323699422,0.8454935622317596,No-change,<5y
Nicaragua,NIC,Lower-mid,2022,1-4,556998,216,190.56127507631354,223,161,1.1334936750055806,1.3416149068322982,0.968609865470852,No-change,<5y
Nicaragua,NIC,Lower-mid,2020,0-4,684160,1778,1737.3459946512528,1902.025,1591.9,1.0234000627819146,1.1169043281613167,0.9347931809518802,No-change,5y groups
Nicaragua,NIC,Lower-mid,2021,0-4,679134,1702,1626.5942179155759,1800.0749999999998,1461.9,1.0463580782803064,1.1642383199945276,0.9455161590489286,No-change,5y groups
Nicaragua,NIC,Lower-mid,2022,0-4,676018,1721,1527.1339184682274,1715,1358.9750000000001,1.1269476626687904,1.2663956290586653,1.0034985422740526,Excess,5y groups
Nicaragua,NIC,Lower-mid,2020,5-9,690115,103,147.25618944409533,211,97.97500000000002,0.6994612612809946,1.0512885940290888,0.4881516587677725,No-change,5y groups
