Country,Code,Income,Year,Sex,Age,Exposure,Deaths,Rate,bsn,bsn_lp,bsn_up,psc,up,lp,Source_dts,pop_yng,pop_in,fit_in,inc_in
Albania,ALB,Upper-mid,2019,m,5-9,82554,13,15.7,13.132688619997541,6,21,0.9898963095953184,2.1666666666666665,0.6190476190476191,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,m,5-9,81055,11,13.6,11.333038950212059,5,19,0.9706134469602412,2.2,0.5789473684210527,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,t,5-9,160752,40,24.9,36.62725221556858,24,52,1.0920830141606368,1.6666666666666667,0.7692307692307693,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,t,5-9,159405,28,17.6,33.31238891104106,22,45,0.8405281312839044,1.2727272727272727,0.6222222222222222,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,t,5-9,159816,30,18.8,30.63232629330754,20,43,0.9793575490397644,1.5,0.6976744186046512,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,t,5-9,160918,32,19.9,28.289171817990283,18,40,1.1311748610346324,1.7777777777777777,0.8,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,t,5-9,162112,25,15.4,26.138860762094673,15,39,0.9564303596679242,1.6666666666666667,0.6410256410256411,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,t,5-9,160364,23,14.3,21.75154653474771,11,35,1.057396078171173,2.090909090909091,0.6571428571428571,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,f,10-14,93941,30,31.9,25.57715013351416,14,39,1.1729219183293806,2.142857142857143,0.7692307692307693,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,f,10-14,90252,21,23.3,24.024524407484456,14,36,0.8741067937002651,1.5,0.5833333333333334,unicef_ccs,2866848.5,1,1,1
